source_question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation_a,explanation_b,explanation_c,explanation_d,source_file,topic
11,"Your data engineering team is debating whether to use an ETL (Extract, Transform, Load) or ELT (Extract, Load, Transform) orchestration pattern. What is the primary reason you would choose to implement an ETL pattern using Dataflow, rather than an ELT pattern?",You want to leverage BigQuery's massive parallel processing power for the transformations.,You need to use standard SQL for all transformation logic.,You must mask and redact highly sensitive PII data in flight before it is ever written to persistent cloud storage.,You want to minimize the amount of Python or Java code written by the team.,C,"is incorrect because leveraging BigQuery's compute power for transformations describes the ELT pattern (loading raw data first, then transforming).","is incorrect because using standard SQL is typical of ELT in BigQuery, whereas ETL in Dataflow usually requires Apache Beam (Python/Java).","is correct because in an ETL pattern, data is Transformed (masked/redacted via Dataflow) before it is Loaded into the destination. If security compliance mandates that raw PII cannot touch persistent storage, ETL is mandatory.",is incorrect because ETL with Dataflow generally requires writing more code (Apache Beam) compared to simple SQL in an ELT pattern.,Data_pipeline_orchestration.docx,Data_pipeline_orchestration
12,You are orchestrating a pipeline that involves a streaming Dataflow job. You discover a bug in your Apache Beam code that is causing incorrect calculations. You have compiled a fixed version of the code. How can you apply this fix without stopping the pipeline and losing the in-flight data currently buffered in the system?,"Drain the pipeline, deploy the new code, and replay the Pub/Sub topic from the beginning.",Cancel the pipeline abruptly and start a new job with the fixed code.,Execute an in-flight job replacement by launching the new job with the --update flag and targeting the existing job name.,Use Cloud Composer to pause the Dataflow workers.,C,"is incorrect because draining the pipeline stops the processing of new messages while it finishes current ones, but replaying the Pub/Sub topic from the beginning would cause massive data duplication.",is incorrect because cancelling the job abruptly causes immediate data loss for any messages currently being processed in memory.,"is correct because Dataflow natively supports in-flight job updates. By submitting a new job with the --update flag and the name of the currently running job, Dataflow seamlessly transitions the workload to the new code while preserving the state and buffered in-flight data.",is incorrect because Cloud Composer orchestrates job starts/stops; it cannot pause internal Dataflow worker memory states to inject new code.,Data_pipeline_orchestration.docx,Data_pipeline_orchestration
13,"Your data pipeline relies on an Eventarc trigger that routes Cloud Storage object creation events to a Cloud Run service. To ensure the pipeline is resilient, you want to guarantee that if the Cloud Run service temporarily crashes or is unavailable, the event message is not permanently lost. How does Eventarc handle this underlying message delivery?","Eventarc relies on Pub/Sub under the hood, which provides at-least-once delivery guarantees and message buffering.",Eventarc stores the events in a Cloud SQL database until they are acknowledged.,Eventarc simply drops the event if the destination is unavailable.,Eventarc forces the Cloud Storage bucket to stop accepting uploads until the service recovers.,A,"is correct because Eventarc utilizes Cloud Pub/Sub as its underlying transport layer. Pub/Sub inherently provides an ""at-least-once"" delivery guarantee and will buffer the event messages, retrying delivery to the Cloud Run service when it becomes available again.",is incorrect because Eventarc does not use relational databases like Cloud SQL for message queueing or event buffering.,"is incorrect because dropping events would result in critical data loss, which violates the reliability design of event-driven architectures on GCP.",is incorrect because storage systems are decoupled from downstream event processing; a failed downstream service will never block upstream user uploads.,Data_pipeline_orchestration.docx,Data_pipeline_orchestration
14,"In a Dataform project, you have configured several data quality tests (assertions) on your source data tables. If one of these source assertions fails because the data contains unexpected null values, what is the default behavior of the Dataform pipeline execution?",It emails the database administrator and continues executing all downstream transformations.,It replaces the null values with zeros and continues execution.,"It halts the execution of any downstream actions that depend on the failing dataset, preventing bad data from propagating.",It drops the entire BigQuery dataset.,C,is incorrect because continuing execution ignores the failure and pollutes the downstream tables with bad data.,"is incorrect because Dataform assertions are tests, not data mutation tools; they do not automatically alter data.","is correct because Dataform executes assertions as part of its dependency tree. If an assertion fails, Dataform's default dependency management prevents any downstream dependent tables from being updated, thereby protecting the data warehouse from propagating bad data.","is incorrect because dropping a dataset is a destructive action; Dataform simply stops the pipeline execution, it does not delete your database infrastructure.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
15,"You are designing a data pipeline where the extraction happens via a third-party SaaS tool, and the raw data lands in BigQuery. The transformation step must then clean this data, join it with reference tables, and create reporting views. Which Google Cloud orchestration tool is purpose-built to manage this specific SQL-based transformation phase within BigQuery?",Dataproc,Dataform,Cloud Storage Transfer Service,Cloud Spanner,B,"is incorrect because Dataproc manages Apache Hadoop/Spark clusters, which is outside the scope of native BigQuery SQL transformations.","is correct because Dataform is explicitly designed to develop, test, and orchestrate complex SQL-based data transformations (the ""T"" in ELT) entirely within BigQuery.",is incorrect because the Storage Transfer Service moves data into Cloud Storage; it does not transform data in BigQuery.,"is incorrect because Cloud Spanner is a transactional relational database, not an orchestration or transformation tool for BigQuery.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
16,You are a data engineer responsible for a critical Cloud Composer environment. You need to monitor the health of your DAGs and set up an alert so that the operations team is notified via email immediately if any DAG run fails. Which integration provides this alerting capability?,Cloud Monitoring metrics combined with Alerting Policies.,VPC Service Controls.,BigQuery Data Transfer Service notifications.,Identity-Aware Proxy (IAP) access logs.,A,"is correct because Cloud Composer deeply integrates with Cloud Monitoring. It automatically exports Airflow metrics (like task failures and DAG run failures) to Cloud Monitoring, allowing you to easily create Alerting Policies that trigger emails or PagerDuty incidents when failures occur.",is incorrect because VPC Service Controls prevent network data exfiltration; they do not monitor pipeline execution status or send alerts.,"is incorrect because BigQuery DTS handles its own scheduled ingestions, not the health of external Cloud Composer DAGs.","is incorrect because IAP controls web application access authentication, it does not monitor Airflow pipeline tasks.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
17,"A developer has created a Cloud Scheduler job to trigger a data processing endpoint every night at 2:00 AM. They notice that the job occasionally fails, but there is no mechanism in place to retry the job automatically. What feature of Cloud Scheduler should they configure to fix this?",The Dead-letter topic configuration.,"The Retry configuration parameters (e.g., max retry attempts).",The Eventarc trigger filter.,The Cloud Run minimum instances setting.,B,"is incorrect because Dead-letter topics are a feature of Pub/Sub, not a native configuration parameter of the Cloud Scheduler job itself.","is correct because Cloud Scheduler natively includes Retry configuration parameters. You can explicitly define the maximum number of retry attempts, the min/max backoff duration, and maximum retry duration to ensure transient errors are automatically handled.",is incorrect because Eventarc triggers are a completely separate event-routing service from the cron-based Cloud Scheduler.,"is incorrect because configuring Cloud Run instances manages compute scaling, but does not tell Cloud Scheduler to re-send the failed HTTP request.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
18,"You are building an orchestration workflow using Cloud Workflows to coordinate calls between several external REST APIs and Google Cloud services. In Cloud Workflows, what syntax format must you use to define the steps, conditions, and execution logic of the pipeline?",Python (Apache Airflow syntax),YAML or JSON,SQLX,XML,B,"is incorrect because Python/Airflow syntax is strictly used for Cloud Composer, not Cloud Workflows.","is correct because Cloud Workflows definitions are explicitly written in either YAML or JSON syntax. You define the sequence of steps, variables, and API call parameters using these lightweight declarative formats.",is incorrect because SQLX is the SQL extension language used by Dataform for BigQuery transformations.,is incorrect because XML is not a supported definition language for Cloud Workflows.,Data_pipeline_orchestration.docx,Data_pipeline_orchestration
19,"A marketing team needs to orchestrate a data movement task. Once a month, they need to export data from a specific BigQuery table to a Google Cloud Storage bucket in CSV format. They want a simple, no-code, serverless way to schedule this action directly from the Google Cloud Console. Which feature should they use?",A Dataflow batch pipeline written in Java.,A Cloud Composer DAG.,A BigQuery Data Transfer Service scheduled export.,A Dataproc Spark job.,C,"is incorrect because writing a Dataflow pipeline in Java requires significant programming expertise, violating the no-code requirement.","is incorrect because Cloud Composer requires managing Airflow environments and writing Python code, which is massive overkill for a simple monthly export.","is correct because the BigQuery Data Transfer Service can be configured to not only ingest data, but also to perform scheduled exports of BigQuery data to Cloud Storage. This can be configured entirely via the UI with zero code, perfectly meeting the marketing team's requirements.","is incorrect because Dataproc requires cluster management and Spark coding, not a simple serverless no-code UI.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
20,"Your orchestration architecture uses Pub/Sub to trigger a Cloud Function every time a new message arrives. A bad code deployment to the Cloud Function causes it to crash every time it receives a specific type of message. Pub/Sub continues to retry sending the message indefinitely, blocking the system. To gracefully handle this continuous failure and remove the bad message from the main queue, what Pub/Sub feature must you configure?",An Eventarc bypass.,A Dead-letter topic.,A Cloud Scheduler override.,Dataform assertions.,B,is incorrect because Eventarc routes events; it does not contain built-in bypass mechanisms for failing Pub/Sub subscription consumers.,"is correct because a Dead-letter topic in Pub/Sub is specifically designed for this scenario. If a message fails delivery to a subscriber (like the Cloud Function) after a configured maximum number of delivery attempts, Pub/Sub automatically routes the ""poison pill"" message to the dead-letter topic, allowing the main pipeline to continue processing healthy messages.",is incorrect because Cloud Scheduler triggers jobs on a time schedule; it cannot override or interact with Pub/Sub's internal message retry logic.,"is incorrect because Dataform assertions are for SQL data quality testing in BigQuery, entirely unrelated to Pub/Sub message delivery.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
1,"Your organization is ingesting a high volume of financial telemetry data into Google Cloud Storage. The data will be accessed constantly for the first 30 days for immediate analysis, after which it will only be accessed once a year for compliance auditing. Which storage strategy minimizes costs while meeting these requirements?",Ingest directly into the Archive storage class.,Ingest into the Standard storage class and configure an Object Lifecycle Management policy to transition objects to Archive after 30 days.,Ingest into a Persistent Disk attached to a Compute Engine instance.,Ingest into Cloud SQL and export the data to Cloud Storage after 30 days.,B,"is incorrect because Archive storage has high retrieval costs and minimum storage durations, making it financially inefficient for data accessed constantly in the first 30 days.","is correct because Standard storage is optimal for frequently accessed (""hot"") data, while Object Lifecycle Management automates the transition to the low-cost Archive class once the data becomes ""cold,"" optimizing your financial expenditure.","is incorrect because Persistent Disks are block storage tied to virtual machines, lacking the seamless scalability and lifecycle management features of Cloud Storage.","is incorrect because Cloud SQL is a relational database service, not an optimal or cost-effective landing zone for raw telemetry data files.",Data_preparation.docx,Data_preparation
2,You need to migrate 50 Terabytes of historical log data from an on-premises data center to Cloud Storage. Your corporate network has a severely limited outbound internet connection (100 Mbps). Which Google Cloud service should you use to ingest this data within a week?,The gsutil cp command.,Storage Transfer Service.,Transfer Appliance.,BigQuery Data Transfer Service.,C,"is incorrect because while gsutil cp is standard for uploading files, transferring 50 TB over a 100 Mbps connection would take months.","is incorrect because Storage Transfer Service relies on network bandwidth to move data from online sources (like other clouds or accessible on-premises servers), which is the bottleneck in this scenario.",is correct because Transfer Appliance is a physical hardware device shipped to your data center. It is specifically designed for offline data transfer when network bandwidth is too low to support migrating large volumes (terabytes to petabytes) of data over the internet in a reasonable timeframe.,"is incorrect because BigQuery Data Transfer Service is used for automating data movement into BigQuery from SaaS applications (like Google Ads) or Cloud Storage, not for offline hardware data migration.",Data_preparation.docx,Data_preparation
3,Your company is migrating an existing on-premises Apache Spark and Apache Hadoop ecosystem to Google Cloud. You want to lift-and-shift the batch ingestion workloads with minimal code rewriting. Which core service should you select?,Dataflow,Dataproc,Cloud Run,Vertex AI,B,"is incorrect because Dataflow relies on the Apache Beam SDK. While powerful for new pipelines, migrating existing Spark/Hadoop jobs to Dataflow requires completely rewriting the code.","is correct because Dataproc is Google Cloud's fully managed service for running open-source data processing frameworks like Apache Hadoop, Spark, Flink, and Presto. It is the definitive choice for lift-and-shift migrations of these specific workloads.","is incorrect because Cloud Run is a serverless container environment for web applications and microservices, not a distributed big data processing framework.","is incorrect because Vertex AI is a machine learning platform, not an ingestion and big data processing engine.",Data_preparation.docx,Data_preparation
4,"You are designing a net-new, serverless data pipeline that needs to handle both real-time streaming data and massive daily batch uploads using the exact same processing logic. Which Google Cloud service should you use?",Dataproc,Cloud SQL,Dataflow,Cloud Spanner,C,"is incorrect because while Dataproc can handle batch and stream processing (e.g., Spark Streaming), it requires managing clusters and does not natively offer a unified, serverless code base in the same way Beam/Dataflow does.","is incorrect because Cloud SQL is a managed relational database service, not a data processing pipeline framework.","is correct because Dataflow, built on the open-source Apache Beam framework, provides a unified programming model that allows you to execute the exact same pipeline code for both batch and streaming ingestion workloads.","is incorrect because Cloud Spanner is a distributed relational database, not a pipeline orchestration or processing engine.",Data_preparation.docx,Data_preparation
5,"Millions of IoT devices are sending telemetry data at a high, unpredictable velocity. You need a service to ingest this real-time data, act as a scalable shock absorber, and decouple the data producers from the downstream analytical consumers. Which service is best suited for this?",Pub/Sub,Cloud Storage,Cloud Bigtable,IAM,A,"is correct because Pub/Sub is a fully managed, globally scalable asynchronous messaging service. It perfectly acts as an elastic buffer (shock absorber) to ingest high-velocity streaming data and decouple producers (IoT devices) from consumers (e.g., Dataflow).","is incorrect because Cloud Storage is an object storage service designed for files/blobs, not an event-driven messaging buffer for sub-second streaming ingestion.","is incorrect because while Bigtable can store high-throughput data, it is a database, not a message queue designed to decouple decoupled asynchronous systems.","is incorrect because IAM (Identity and Access Management) handles access control, not data ingestion.",Data_preparation.docx,Data_preparation
6,"Your data engineering team has decided to adopt an ELT (Extract, Load, Transform) methodology for the new data warehouse architecture. In an ELT pattern on Google Cloud, where does the data transformation primarily occur?",Within a Dataflow pipeline before the data reaches storage.,"Within BigQuery, using massive parallel processing capabilities and SQL after the raw data is loaded.",Within an on-premises Hadoop cluster before extraction.,Within Cloud Storage using Object Lifecycle policies.,B,"is incorrect because transforming data in flight (e.g., via Dataflow) before loading it into the warehouse describes an ETL (Extract, Transform, Load) pattern.","is correct because in an ELT pattern, raw data is Extracted and immediately Loaded into the target data warehouse (BigQuery). The Transformation step then leverages BigQuery's massive computing power using standard SQL.",is incorrect because transforming data before extracting it to the cloud contradicts the ELT paradigm.,"is incorrect because Cloud Storage Lifecycle policies manage object retention and storage class transitions, not data transformation or schema modifications.",Data_preparation.docx,Data_preparation
7,"You have terabytes of historical data stored in Parquet format in a Cloud Storage bucket. You need to allow data analysts to query this data using standard SQL from BigQuery immediately, without duplicating the data into BigQuery's internal storage and without requiring advanced column-level security. What should you create?",A native BigQuery table.,An external table in BigQuery.,A Cloud Spanner database.,A Dataproc cluster.,B,"is incorrect because creating a native BigQuery table would require loading (copying) the data from Cloud Storage, violating the requirement to avoid data duplication.","is correct because external tables allow BigQuery to directly query data stored in external sources like Cloud Storage (in formats like Parquet, ORC, or CSV) without copying the data into BigQuery's managed storage.","is incorrect because Cloud Spanner is an operational transactional database, not an analytical querying engine for external data lakes.","is incorrect because while Dataproc can query Parquet files using Spark SQL, it requires provisioning and managing clusters, whereas BigQuery external tables offer a serverless SQL interface.",Data_preparation.docx,Data_preparation
8,"You need to query data stored in Cloud Storage directly from BigQuery. However, unlike standard external tables, strict compliance rules dictate that you must enforce fine-grained row-level and column-level security on this external data. What should you implement?",Cloud Storage IAM conditions.,A BigLake table.,BigQuery Data Transfer Service.,A standard BigQuery external table.,B,is incorrect because Cloud Storage IAM operates at the bucket or object level; it cannot enforce data-level security (rows or columns) within the files themselves.,is correct because BigLake tables extend BigQuery's native fine-grained security protocols (including row-level and column-level access controls) to data stored externally in data lakes like Cloud Storage.,is incorrect because the BigQuery Data Transfer Service automates data ingestion/loading; it is not a table type or security mechanism.,is incorrect because standard external tables in BigQuery lack the capability to enforce fine-grained row or column-level security policies.,Data_preparation.docx,Data_preparation
9,Your application requires ingesting time-series telemetry data at extremely high throughput (millions of reads/writes per second) with consistent sub-millisecond latency. The data is non-relational. Which Google Cloud database is built for this specific ingestion profile?,Cloud SQL,Cloud Spanner,Cloud Bigtable,BigQuery,C,"is incorrect because Cloud SQL is a relational database optimized for standard transactional applications, not massive-scale, sub-millisecond NoSQL ingestion.","is incorrect because Cloud Spanner is a relational database built for global consistency and transactional integrity, not specialized for time-series NoSQL telemetry.","is correct because Cloud Bigtable is Google's fully managed, highly scalable NoSQL database specifically designed for large analytical and operational workloads, handling high-throughput, sub-millisecond latency ingestion for time-series, IoT, and financial data.","is incorrect because BigQuery is an enterprise data warehouse designed for complex analytical queries (OLAP), not for high-frequency, sub-millisecond operational writes (OLTP/NoSQL).",Data_preparation.docx,Data_preparation
10,You are building a global financial trading application that requires a relational database. The data must be synchronously replicated across multiple regions globally to ensure absolute consistency and high availability for transactional ingestion. Which database service must you use?,Cloud SQL,Cloud Spanner,Cloud Bigtable,Cloud Storage,B,"is incorrect because Cloud SQL is a regional relational database service. It scales vertically and relies on asynchronous read replicas, making it unsuitable for synchronous global transactional consistency.","is correct because Cloud Spanner is Google Cloud's fully managed relational database that provides practically infinite horizontal scalability, global distribution, and strong synchronous consistency, making it the only choice for a global relational workload.",is incorrect because Cloud Bigtable is a NoSQL wide-column store; it does not support relational schemas or standard SQL transactional integrity.,"is incorrect because Cloud Storage is an object storage service, not a relational database.",Data_preparation.docx,Data_preparation
11,Your marketing team needs to analyze daily performance metrics from Google Ads. You need to automate the ingestion of this data into BigQuery every night without writing custom API polling scripts. Which tool is the most efficient choice?,BigQuery Data Transfer Service,Storage Transfer Service,Dataproc,Transfer Appliance,A,"is correct because the BigQuery Data Transfer Service automates data movement into BigQuery on a scheduled, fully managed basis from Google SaaS applications (like Google Ads, Google Play) and external cloud storage providers.","is incorrect because Storage Transfer Service moves data into Cloud Storage, not directly into BigQuery tables.",is incorrect because setting up a Dataproc Hadoop/Spark cluster to ping the Google Ads API is heavy administrative overhead for a task handled natively by BigQuery DTS.,is incorrect because Transfer Appliance is a physical hardware device for offline data migration.,Data_preparation.docx,Data_preparation
12,"When streaming data into a Dataflow pipeline from Pub/Sub, some events arrive late due to mobile network latency. How does Apache Beam (and Dataflow) handle grouping and processing these late-arriving events based on the time they actually occurred?",By utilizing standard BigQuery table partitioning.,"By leveraging Watermarks, Windowing, and Triggers.",By routing late messages automatically to a Pub/Sub dead-letter topic.,By increasing the number of Compute Engine worker nodes.,B,"is incorrect because BigQuery table partitioning optimizes storage and query performance, but does not process or group live streaming data in flight.","is correct because the Apache Beam SDK (which powers Dataflow) uses Windowing to logically divide continuous data, Watermarks to estimate when all data for a window has arrived, and Triggers to dictate when to emit aggregated results, allowing graceful handling of late data.","is incorrect because dead-letter topics handle unprocessable or malformed messages, not valid messages that simply arrived late.","is incorrect because scaling compute nodes handles increased data volume, but does not provide the programmatic logic needed to categorize data by event time.",Data_preparation.docx,Data_preparation
13,"A downstream application pulling messages from a Pub/Sub subscription encounters a formatting error in a specific message and continuously fails to acknowledge it. To prevent this ""poison pill"" from blocking the pipeline endlessly, what should you configure on the subscription?",A larger machine type for the subscriber.,A dead-letter topic.,An Eventarc trigger.,A smaller message retention duration.,B,is incorrect because increasing compute resources will not fix an application error caused by a malformed message payload.,"is correct because a dead-letter topic is specifically designed to catch messages that cannot be successfully processed and acknowledged after a defined number of delivery attempts, allowing the main pipeline to continue processing subsequent messages.",is incorrect because Eventarc triggers respond to events to initiate workflows; they do not handle message acknowledgment failures within Pub/Sub.,"is incorrect because decreasing retention duration might delete the message eventually, but it could also cause data loss for other healthy messages that haven't been processed yet.",Data_preparation.docx,Data_preparation
14,You need to synchronize a directory of CSV files on an on-premises Linux server with a Google Cloud Storage bucket. You want to ensure that only new or updated files are transferred over the network. Which command-line tool and flag should you use?,gsutil mb,gsutil rsync,bq load,gcloud compute scp,B,"is incorrect because gsutil mb is used to make a bucket, not transfer data.","is correct because gsutil rsync synchronizes the contents of two directories or buckets. It efficiently compares the source and destination, transferring only new or changed files, minimizing network bandwidth usage.","is incorrect because bq load is used to load data into BigQuery tables, not synchronize files with Cloud Storage.","is incorrect because gcloud compute scp is used to securely copy files directly to/from Compute Engine virtual machines, not Cloud Storage buckets.",Data_preparation.docx,Data_preparation
15,You have a daily batch ETL job written in Apache Spark that takes exactly two hours to run. You want to execute this on Google Cloud in the most cost-effective manner. How should you deploy the Dataproc cluster?,Create a long-running Dataproc cluster that remains active 24/7.,"Utilize an ephemeral Dataproc cluster via Dataproc Workflow Templates to spin up the cluster, run the job, and automatically delete the cluster upon completion.",Run the Spark job directly on a standard Cloud SQL instance.,Rewrite the job to run in a Jupyter notebook instance on Vertex AI.,B,is incorrect because keeping a cluster running 24/7 for a two-hour daily job wastes 22 hours of compute costs.,"is correct because ephemeral clusters (created via Workflow Templates) ensure you only pay for the compute resources during the exact two hours the Spark job is running. The cluster is destroyed immediately afterward, maximizing cost efficiency.",is incorrect because Cloud SQL is a relational database; it cannot execute Apache Spark jobs.,"is incorrect because rewriting the job is unnecessary and Vertex AI notebooks are for interactive data science, not automated, cost-optimized batch ingestion pipelines.",Data_preparation.docx,Data_preparation
16,"You are designing an ingestion pipeline that saves data into Cloud Storage before loading it into BigQuery. The data frequently changes schema and contains highly nested, complex hierarchical structures. Which file format is best suited for this scenario?",CSV,Avro,TXT,HTML,B,"is incorrect because CSV is a flat, text-based format that does not support nested/hierarchical data and does not contain embedded schema metadata.","is correct because Avro is a row-oriented, binary format that stores the schema alongside the data. It natively supports complex nested data structures and handles schema evolution (changes in fields) exceptionally well, making it ideal for robust data ingestion.",is incorrect because plain TXT files contain raw string data with no inherent structural or schema information.,"is incorrect because HTML is a markup language for rendering web pages, not a structured data serialization format for data engineering pipelines.",Data_preparation.docx,Data_preparation
17,Your company recently acquired a startup that stores its data lake in Amazon S3. You need to migrate millions of objects from Amazon S3 directly to Google Cloud Storage. Which Google Cloud service is purpose-built to orchestrate this specific transfer?,Storage Transfer Service,Transfer Appliance,Cloud Storage FUSE,Dataflow,A,is correct because the Storage Transfer Service is a fully managed service designed explicitly to quickly and securely transfer data from external cloud providers (like Amazon S3 or Azure Blob Storage) directly into Google Cloud Storage.,"is incorrect because Transfer Appliance is a physical hardware device for offline migrations from on-premises environments, not cloud-to-cloud transfers.",is incorrect because Cloud Storage FUSE allows you to mount a Cloud Storage bucket as a local file system on a VM; it is not a data migration orchestration tool.,"is incorrect because while Dataflow could theoretically be programmed to read from S3 and write to GCS, building a custom pipeline is unnecessary overhead when a managed service exists for this exact purpose.",Data_preparation.docx,Data_preparation
18,"You are configuring a Pub/Sub topic to receive order events from a microservice. In a default configuration, what message delivery guarantee does Pub/Sub provide?",Exactly-once delivery,At-least-once delivery,At-most-once delivery,Best-effort delivery with no guarantees,B,"is incorrect because while Pub/Sub can be configured for exactly-once delivery on subscriptions, it is not the default behavior. Standard behavior prioritizes high availability over strict single delivery.","is correct because standard Pub/Sub provides an ""at-least-once"" delivery guarantee by default. This ensures no data is lost, but it implies that downstream ingestion pipelines must be designed to be idempotent (able to handle duplicate messages safely).","is incorrect because at-most-once delivery means messages might be dropped, which Pub/Sub explicitly avoids.","is incorrect because Pub/Sub guarantees message delivery; it does not operate on a simple ""best effort"" basis.",Data_preparation.docx,Data_preparation
19,"You are creating a Cloud Storage bucket to act as the primary landing zone for sensitive, externally ingested healthcare data. You must ensure that no object in this bucket can ever be accidentally exposed to the public internet via ACLs (Access Control Lists). What should you configure?","Enable Uniform bucket-level access and verify ""Prevent public access"" is enforced.",Set the bucket's storage class to Archive.,Encrypt the bucket with Google-managed encryption keys (GMEK).,Grant the roles/storage.objectViewer role to allUsers.,A,"is correct because Uniform bucket-level access disables individual object ACLs, centralizing security entirely through IAM. Enforcing ""Prevent public access"" guarantees that IAM policies granting public access cannot be applied to the bucket.","is incorrect because the Archive storage class affects billing and retrieval times, not security or access control policies.","is incorrect because GMEK encrypts data at rest automatically for all buckets, but does not prevent a user from accidentally making the data publicly downloadable via ACLs.","is incorrect because granting allUsers the objectViewer role explicitly makes the entire bucket public, which violates the requirement.",Data_preparation.docx,Data_preparation
20,"You need to migrate an on-premises PostgreSQL database to Cloud SQL for PostgreSQL. The database is actively used by a customer-facing application, so the migration must occur continuously with near-zero downtime. Which tool should you use?",Database Migration Service,gsutil to upload a SQL dump file,Transfer Appliance,BigQuery Data Transfer Service,A,"is correct because the Database Migration Service is designed specifically for continuous, high-fidelity migrations to Cloud SQL. It uses native database replication techniques (like PostgreSQL logical replication) to ensure minimal downtime during the cutover.","is incorrect because taking a static dump file, uploading it, and importing it requires significant application downtime while the data is moved.","is incorrect because Transfer Appliance is an offline hardware solution that takes days to ship, making continuous replication and near-zero downtime impossible.","is incorrect because the BigQuery Data Transfer Service moves data into BigQuery for analytics, not into Cloud SQL for operational workloads.",Data_preparation.docx,Data_preparation
21,"You have a set of JSON newline-delimited files in Cloud Storage containing user profile data. You need to load this data into a new BigQuery table, but the schema has many nested columns and you do not want to define the schema manually. What is the easiest way to load this data?",Use the bq load command with the --autodetect flag.,Run a Dataproc job to parse the JSON and generate a SQL schema.,"Convert the JSON files to CSV files first, as BigQuery cannot infer JSON schemas.",Use a Cloud Function to parse each row and insert it via the BigQuery streaming API.,A,"is correct because BigQuery schema auto-detection natively inspects a sample of the data (including JSON and CSV) to automatically infer data types, column names, and nested structures, eliminating the need to manually define the schema.",is incorrect because provisioning a Dataproc cluster solely to infer a schema is unnecessary overhead when BigQuery handles it natively.,is incorrect because BigQuery fully supports JSON and can easily autodetect schemas from newline-delimited JSON files; converting to CSV would actually lose the nested data structure.,is incorrect because writing custom code in Cloud Functions for an initial bulk load is inefficient and costly compared to a standard native load job.,Data_preparation.docx,Data_preparation
22,You need to ingest real-time messages from a Pub/Sub topic directly into a BigQuery table. Your team lacks Java or Python programming experience and wants a solution that requires zero custom code. What should you use?,Google-provided Dataflow templates.,A custom Apache Beam pipeline.,Cloud Composer DAGs.,Database Migration Service.,A,"is correct because Google provides pre-built Dataflow templates (specifically the ""Pub/Sub to BigQuery"" template) that allow you to deploy a fully functional streaming pipeline directly from the Google Cloud Console without writing a single line of code.","is incorrect because writing a custom Apache Beam pipeline requires Java, Python, or Go programming skills, which the team lacks.","is incorrect because Cloud Composer (Apache Airflow) is an orchestration tool for batch workflows, not a real-time streaming engine, and requires writing Python DAGs.","is incorrect because Database Migration Service is for migrating operational databases to Cloud SQL/AlloyDB, not for streaming Pub/Sub messages to BigQuery.",Data_preparation.docx,Data_preparation
23,"Your data engineering team is preparing data for a machine learning model. You need a centralized repository to store, serve, and share curated, historical ML data so that data scientists can retrieve it for training, and applications can access it with low latency for real-time inference. Which service should you use?",Vertex AI Feature Store,Cloud SQL,Cloud Storage Archive class,Dataproc,A,"is correct because the Vertex AI Feature Store is specifically designed to be a centralized repository for organizing, storing, and serving machine learning features for both batch training and low-latency online prediction.","is incorrect because while Cloud SQL is a relational database, it lacks the specialized ML metadata tracking, point-in-time lookup capabilities, and automated serving infrastructure inherent to Feature Store.","is incorrect because Cloud Storage Archive is for long-term offline retention, making it impossible to serve data for real-time, low-latency online ML inference.","is incorrect because Dataproc is a processing engine for Hadoop/Spark, not a managed feature storage and serving repository.",Data_preparation.docx,Data_preparation
24,"You are designing the schema for a Cloud Bigtable database that will ingest high-velocity IoT telemetry data. Which row key design strategy is recommended to prevent ""hotspotting"" and ensure read/write operations are evenly distributed across the cluster?",Using a strictly sequential timestamp as the first part of the row key.,Combining a hashed device ID with a timestamp.,Using an auto-incrementing integer.,Storing all data for a specific device under a single static string key.,B,"is incorrect because sequential timestamps cause all new data to be written to a single node at the end of the table, causing severe hotspotting and poor performance.","is correct because Bigtable sorts data lexicographically by row key. By hashing an identifier (like device ID) and placing it at the beginning of the row key, you distribute concurrent writes evenly across the nodes, preventing localized performance bottlenecks (hotspotting).","is incorrect because auto-incrementing integers are sequential, which causes the exact same hotspotting issue as sequential timestamps.","is incorrect because writing all data to a single static key forces all operations to a single row on a single node, completely failing to utilize Bigtable's distributed architecture.",Data_preparation.docx,Data_preparation
25,"You are creating a Cloud Spanner database that will ingest millions of new user registrations per day. To ensure optimal write performance and avoid anti-patterns, what should you use as the Primary Key for the Users table?","A monotonically increasing sequence (e.g., UserID 1, 2, 3...).",The exact timestamp of the registration.,A Universally Unique Identifier (UUID) version 4.,A single boolean value.,C,"is incorrect because monotonically increasing sequences route all new inserts to a single server handling the ""end"" of the key space, creating a massive bottleneck.","is incorrect because timestamps are inherently sequential, leading to the same hotspotting problem as sequential IDs.","is correct because a UUID (v4) is highly random. Cloud Spanner distributes data across multiple servers based on key ranges. Random keys ensure that massive concurrent write operations are spread evenly across all servers, preventing hotspots.","is incorrect because a boolean only allows for two unique rows, which fundamentally breaks the requirement to store millions of users.",Data_preparation.docx,Data_preparation
